hotel_name,location,wrote,rating,title,review_text
Secrets Cap Cana Resort & Spa,Argentina,November 2021,5,Estupendo!,"El resort es bellísimo pero el servicio es lo mejor del lugar, simplemente increíble. Mil gracias a Enrique, nuestro mayordomo por su amabilidad y predisposición. A Joel que nos ayudó muy amablemente en el proceso de check-in y check-out. A destacar la atención de los meseros Eurys, Jorge, Daniel y Omar. En la Playa, Kelvin, Manuela y Maria nos atendieron de 10. Súper recomendable! Esperamos volver pronto!!!"
Secrets Cap Cana Resort & Spa,Argentina,November 2021,5,"Viaje en pareja de aniversario, genial","El hotel es muy bonito, y no es un complejo tan grande, lo que lo hace de fácil acceso y rápido a todos lados. Pero lo que lo hace grandioso es el personal, todo el tiempo la gente es cálida, amable, alegre y muy dispuesta a ayudarte en lo que sea para que la pases increíble, reconozco a Jordain que estuvo pendientes de nosotros en todo momento. La comida es bastante buena considerando que es un all inclusive, la bebida muy variada. La playa es privada, no hay casi olas y a mi eso me encanta, pero algunos días si hubo algo de sargazo, aunque el hotel todas las mañanas hace lo posible por limpiar, de cualquier forma es como estar en otra piscina de lo tranquila que es ahí el agua. Tienes todo para pasar unas vacaciones extraordinarias, incluido el spa que es una maravilla y el"
Secrets Cap Cana Resort & Spa,Argentina,November 2021,5,"Excelente servicio, actitud y alimentos de 10","es la segunda vez que asistimos a este Secrets y de verdad su calidad en todos los sentidos y actitud del personal, hace que no te quieras ir del lugar siempre todos dispuestos a que te la pases increíble."
Secrets Cap Cana Resort & Spa,Argentina,November 2021,5,Excelente semana en Secrets Cap Cana,"Nuestra estadía de 7 días en el Secrets Cap Cana, superó nuestras expectativas. Desde nuestra llegada, fuimos recibidos por nuestro Concierge Martinez, quien siempre estuvo al tanto para que nuestra estadía fuera excelente. En el Market Café, Carolina"
Secrets Cap Cana Resort & Spa,Argentina,October 2021,5,Maravilloso,"Estuvimos mi pareja y yo pasando unos días en el secret cap cana y la verdad que ha sido un auténtico lujo nuestros 10 días allí , comida excelente habitaciones impolutas y el trato del personal muy bueno cabe destacar a nuestro conserje EDUAR SILVESTRE que hizo que todo fuese aún más maravilloso repetiremos!!!!"
Secrets Cap Cana Resort & Spa,"Concon, Chile",October 2021,5,Secret cap cana,"Una maravilla de lugar,fueron unos días descansando y disfrutando extraordinarios,hotel con limpieza calidad de comida y confort,y reseńar a nuestro conserve EDUAR SILVESTRE un 10!!volveremos muy pronto"
Secrets Cap Cana Resort & Spa,"Concon, Chile",October 2021,3,Por debajo de mis expectativas,"Fuimos de vacaciones a Punta Cana con mi mujer, durante el mes de octubre por 4 semanas, visitando Secrets Royal Beach, Hyatt Zilara, Excellence El Carmen, Iberostar Grand Bávaro y, por último, Secrets Cap Cana. El parámetro de comparación y de evaluación será entre los hoteles antes mencionados, sin considerar los estándares pre pandemia (aunque podría hacer un comentario entre medio). La escala de medición será de 5 como nota máxima. Secrets Cap Cana: -Relación Precio Calidad: 3,0. Es el hotel de mayor precio por noche en las habitaciones desde y tiene más de un punto a mejorar. - Playa: 4,0. La arena es fina y blanca, hermosa. El oleaje es muy bajo, puedes avanzar 50 m y el mar no te tapa, pero las reposeras son básicas para el nivel que promete el hotel (a menos que estés"
Secrets Cap Cana Resort & Spa,"Concon, Chile",October 2021,5,Festejo de cumpleaños,"Excelente servicio, deliciosa comida, clima perfecto, muy limpio resort, buenas actividades, acceso a playa, albercas grandes, barra de cafe abierta 24 hrs, cuartos amplios y limpios, definitivamente regresaria de nuevo."
Secrets Cap Cana Resort & Spa,"Concon, Chile",October 2021,5,Festejo de cumpleaños,"Exelente servicio de Angelo y el resto del staff Muchas gracias por atendernos al maximo y su arduo trabajo. Su alegria, amabilidad y delicadesa hacia nosotros fue de CALIDAD! Esperamos regresar muy pronto"
Secrets Cap Cana Resort & Spa,"Concon, Chile",October 2021,5,Five stars,"Mi visita en Secret CampCana fue divino! Mi conserje personal, Osvaldo fue muy profesional y atento. Cada mañana nos envió las clases y eventos disponible ese día y chequeo con mi familia para segurar que el experienco de nosotros iba bien. El servicio de Juan y Jeffrey en el bar fue espectacular! Trabajan muy duro y saben cómo conversar con todos. Mi familia y yo nos reímos bastante con ellos! Yo personalmente me divertí en la clase de yoga y pole dancing en la piscina con los instructores, Miguel y Alberto. Sus energía y poder de entusiasmar a todo mundo fue otro nivel. Atendí en el clase de Picasso painting con Henry y Redbull y nos encantó! También tengo que mencionar a mis damas divinas en el Market Café. Ana, Noelia, Ramona y María son tan amables y siempre nos saludaron y"
Secrets Cap Cana Resort & Spa,"Munich, Germany",October 2021,5,Congreso de neurocirugía,"Nos hospedamos en en el Hotel Secrests cap Cana, nuestro consierge Angelo Mercedes nos brindó un excelente servicio, una persona súper atenta , amable lo cual hizo que nuestra estadía las disfrutamos 100% al máximo."
Secrets Cap Cana Resort & Spa,"Munich, Germany",September 2021,5,Luna de miel/ Honeymoon <3,"Tuvimos la mejor experiencia, definitivamente el mejor Hotel que hemos visitado. Nuestro Concierge Angelo siempre al pendiente de todo y atento a cada detalle y/o petición. Y queremos agradecer a Pujols, Maria y demás por las atenciones en el area de la piscina haciéndonos sentir como reyes. El servicio en los restaurantes, barras, cafe, habitación... todo EXCELENTE. Nuestra luna de miel fue mágica y no queríamos irnos. Pronto volveremos."
Secrets Cap Cana Resort & Spa,"Munich, Germany",September 2021,5,Honeymoon,"El mejor hotel Secrets Cap Cana ❤️ La atención en absolutamente todo fue exquisita, placentera y cómoda! Y excelente concierge Matiel Reyes, siempre con nosotros al pendiente que estuviéramos bien, que todo fuera en orden y disfrutáramos la estadía en este paraíso, que cada concierge que haya en este hotel sea como Matiel 🙏🏻 Esperamos muy pronto volver 🤞"
Secrets Cap Cana Resort & Spa,"Munich, Germany",September 2021,5,Aniversario,"Elegimos este destino para celebrar nuestro anivesario y fue la decision mas acertada,porque aparte de ser un lugar paradisiaco,quiero destacar la atencion de todo el personal del hotel,los trabajadores del bar(junior,blue,zuny,martha,manuela,marlon,felix,fidelina,madelia)que fueron atentos en todo momento.Pujois que estuvo atento de que no nos faltara de nada con su atencion y simpatia,a Joel que hizo qu nuestra llegada y nuestra partida fuera especial ,a Angelo que hizo que todos los dias fueran especiales,a Ericcson y Larry que hicieron de una noche cualquiera fuera una de las mas bonitas,a jesus que hizo que nos sintieramos colo en casa,tambien quiero agradecer al personal de limpieza y al personal de mantenimiento de los jardines que hacen posible que el lugar sea tan"
